season,player,nation,pos,age,mp,starts,min,goals,assists
2011-2012,José Manuel Pinto,es ESP,GK,35.0,3,3,270,0,0
2011-2012,Jonathan dos Santos,mx MEX,MF,21.0,3,1,119,0,0
2011-2012,Ibrahim Afellay,nl NED,"FW,MF",25.0,4,1,116,0,0
2011-2012,Sergi Roberto,es ESP,"DF,MF",19.0,1,1,90,0,0
2011-2012,Andreu Fontàs,es ESP,DF,21.0,1,1,78,0,0
2011-2012,Gerard Deulofeu,es ESP,"FW,MF",17.0,1,0,29,0,0
2011-2012,Marc Bartra,es ESP,DF,20.0,1,0,24,0,0
2011-2012,Marc Muniesa,es ESP,"DF,MF",19.0,1,0,8,0,0
2012-2013,Lionel Messi,ar ARG,"FW,MF",25.0,32,28,2650,46,11
2012-2013,Cesc Fàbregas,es ESP,"FW,MF",25.0,32,30,2296,11,12
2012-2013,David Villa,es ESP,"FW,MF",30.0,28,17,1414,10,5
2012-2013,Alexis Sánchez,cl CHI,"FW,MF",23.0,29,18,1706,8,9
2012-2013,Pedro,es ESP,"FW,MF",25.0,28,23,2066,7,7
2012-2013,Cristian Tello,es ESP,"FW,MF",20.0,22,12,1178,7,4
2012-2013,Xavi,es ESP,MF,32.0,30,24,2192,5,7
2012-2013,Adriano,br BRA,"DF,MF",27.0,23,18,1428,5,1
2012-2013,Andrés Iniesta,es ESP,MF,28.0,31,24,2091,3,15
2012-2013,Jordi Alba,es ESP,"DF,MF",23.0,29,27,2497,2,5
2012-2013,Gerard Piqué,es ESP,DF,25.0,28,27,2399,2,0
2012-2013,Thiago Alcántara,es ESP,MF,21.0,27,15,1415,2,4
2012-2013,Sergio Busquets,es ESP,MF,24.0,31,25,2250,1,2
2012-2013,Alexandre Song,cm CMR,"DF,MF",24.0,20,17,1539,1,0
2012-2013,Carles Puyol,es ESP,DF,34.0,13,12,963,1,0
2012-2013,Martín Montoya,es ESP,DF,21.0,15,11,1154,1,3
2012-2013,Víctor Valdés,es ESP,GK,30.0,31,31,2790,0,0
2012-2013,Dani Alves,br BRA,"DF,MF",29.0,30,26,2265,0,6
2012-2013,Javier Mascherano,ar ARG,"DF,MF",28.0,25,21,1934,0,0
2012-2013,José Manuel Pinto,es ESP,GK,36.0,7,7,630,0,0
2012-2013,Marc Bartra,es ESP,DF,21.0,8,3,400,0,0
2012-2013,Éric Abidal,fr FRA,DF,32.0,5,2,187,0,0
2012-2013,Jonathan dos Santos,mx MEX,MF,22.0,3,0,63,0,0
2012-2013,Gerard Deulofeu,es ESP,"FW,MF",18.0,1,0,27,0,0
2012-2013,Sergi Roberto,es ESP,"DF,MF",20.0,1,0,11,0,0
2013-2014,Lionel Messi,ar ARG,"FW,MF",26.0,31,29,2501,28,11
2013-2014,Alexis Sánchez,cl CHI,"FW,MF",24.0,34,27,2369,19,10
2013-2014,Pedro,es ESP,"FW,MF",26.0,37,28,2349,15,8
2013-2014,Neymar,br BRA,"FW,MF",21.0,26,19,1734,9,8
2013-2014,Cesc Fàbregas,es ESP,"FW,MF",26.0,36,28,2460,8,14
2013-2014,Andrés Iniesta,es ESP,MF,29.0,35,27,2482,3,7
2013-2014,Xavi,es ESP,MF,33.0,30,26,2233,3,2
2013-2014,Adriano,br BRA,"DF,MF",28.0,26,24,2071,3,1
2013-2014,Dani Alves,br BRA,"DF,MF",30.0,27,26,2385,2,3
2013-2014,Gerard Piqué,es ESP,DF,26.0,26,26,2308,2,0
2013-2014,Sergio Busquets,es ESP,MF,25.0,32,30,2649,1,1
2013-2014,Marc Bartra,es ESP,DF,22.0,20,17,1592,1,1
2013-2014,Carles Puyol,es ESP,DF,35.0,5,5,426,1,0
2013-2014,Cristian Tello,es ESP,"FW,MF",21.0,22,2,431,1,2
2013-2014,Javier Mascherano,ar ARG,"DF,MF",29.0,28,27,2358,0,0
2013-2014,Víctor Valdés,es ESP,GK,31.0,26,26,2272,0,0
2013-2014,Jordi Alba,es ESP,"DF,MF",24.0,15,14,1240,0,2
2013-2014,José Manuel Pinto,es ESP,GK,37.0,13,12,1148,0,0
2013-2014,Alexandre Song,cm CMR,"DF,MF",25.0,19,12,1134,0,0
2013-2014,Martín Montoya,es ESP,DF,22.0,13,12,1123,0,1
2013-2014,Sergi Roberto,es ESP,"DF,MF",21.0,17,1,299,0,0
2013-2014,Jonathan dos Santos,mx MEX,MF,23.0,3,0,22,0,0
2013-2014,Adama Traoré,es ESP,"FW,MF",17.0,1,0,10,0,0
2013-2014,Jean Marie Dongou,cm CMR,FW,18.0,1,0,7,0,0
2013-2014,Ibrahim Afellay,nl NED,"FW,MF",27.0,1,0,4,0,0
2014-2015,Lionel Messi,ar ARG,"FW,MF",27.0,38,37,3375,43,18
2014-2015,Neymar,br BRA,"FW,MF",22.0,33,29,2562,22,7
2014-2015,Luis Suárez,uy URU,FW,27.0,27,25,2159,16,13
2014-2015,Pedro,es ESP,"FW,MF",27.0,35,15,1555,6,6
2014-2015,Gerard Piqué,es ESP,DF,27.0,27,26,2385,5,1
2014-2015,Ivan Rakitić,hr CRO,MF,26.0,32,23,2030,5,8
2014-2015,Jérémy Mathieu,fr FRA,DF,30.0,28,23,2106,2,0
2014-2015,Xavi,es ESP,MF,34.0,31,19,1785,2,9
2014-2015,Sandro Ramírez,es ESP,"FW,MF",19.0,7,0,158,2,0
2014-2015,Jordi Alba,es ESP,"DF,MF",25.0,27,27,2329,1,3
2014-2015,Rafinha,br BRA,MF,21.0,24,13,1157,1,0
2014-2015,Marc Bartra,es ESP,DF,23.0,14,11,1036,1,3
2014-2015,Munir El Haddadi,ma MAR,"FW,MF",18.0,10,7,457,1,1
2014-2015,Claudio Bravo,cl CHI,GK,31.0,37,37,3330,0,0
2014-2015,Dani Alves,br BRA,"DF,MF",31.0,30,29,2517,0,6
2014-2015,Sergio Busquets,es ESP,MF,26.0,33,29,2475,0,2
2014-2015,Javier Mascherano,ar ARG,"DF,MF",30.0,28,26,2205,0,0
2014-2015,Andrés Iniesta,es ESP,MF,30.0,24,19,1574,0,1
2014-2015,Adriano,br BRA,"DF,MF",29.0,16,10,962,0,1
2014-2015,Martín Montoya,es ESP,DF,23.0,8,6,591,0,0
2014-2015,Sergi Roberto,es ESP,"DF,MF",22.0,12,4,517,0,0
2014-2015,Douglas,br BRA,DF,23.0,2,1,100,0,0
2014-2015,Jordi Masip,es ESP,GK,25.0,1,1,90,0,0
2014-2015,Thomas Vermaelen,be BEL,DF,28.0,1,1,61,0,0
2014-2015,Marc-André ter Stegen,de GER,GK,22.0,0,0,0,0,0
2015-2016,Luis Suárez,uy URU,FW,28.0,35,35,3150,40,17
2015-2016,Lionel Messi,ar ARG,FW,28.0,33,31,2729,26,14
2015-2016,Neymar,br BRA,FW,23.0,34,34,3056,24,10
2015-2016,Ivan Rakitić,hr CRO,MF,27.0,36,30,2569,7,2
2015-2016,Munir El Haddadi,ma MAR,"FW,MF",19.0,15,8,827,3,2
2015-2016,Gerard Piqué,es ESP,DF,28.0,30,30,2587,2,1
2015-2016,Arda Turan,tr TUR,MF,28.0,18,9,817,2,3
2015-2016,Marc Bartra,es ESP,DF,24.0,13,4,503,2,1
2015-2016,Andrés Iniesta,es ESP,MF,31.0,28,25,2245,1,2
2015-2016,Thomas Vermaelen,be BEL,DF,29.0,10,6,508,1,0
2015-2016,Rafinha,br BRA,"FW,MF",22.0,6,3,281,1,0
2015-2016,Sergio Busquets,es ESP,MF,27.0,35,34,2899,0,4
2015-2016,Claudio Bravo,cl CHI,GK,32.0,32,32,2877,0,0
2015-2016,Javier Mascherano,ar ARG,DF,31.0,32,31,2691,0,0
2015-2016,Jordi Alba,es ESP,DF,26.0,31,29,2589,0,6
2015-2016,Dani Alves,br BRA,DF,32.0,29,24,2145,0,3
2015-2016,Sergi Roberto,es ESP,"MF,DF",23.0,31,21,1917,0,4
2015-2016,Jérémy Mathieu,fr FRA,DF,31.0,21,12,1264,0,2
2015-2016,Aleix Vidal,es ESP,DF,25.0,9,6,544,0,1
2015-2016,Marc-André ter Stegen,de GER,GK,23.0,7,6,543,0,0
2015-2016,Adriano,br BRA,DF,30.0,8,4,434,0,1
2015-2016,Sandro Ramírez,es ESP,FW,20.0,10,4,349,0,1
2015-2016,Gerard Gumbau,es ESP,MF,20.0,3,0,45,0,0
2015-2016,Sergi Samper,es ESP,MF,20.0,1,0,30,0,0
2015-2016,Douglas,br BRA,DF,24.0,1,0,13,0,0
2015-2016,Juan Cámara,es ESP,MF,21.0,0,0,0,0,0
2015-2016,Jordi Masip,es ESP,GK,26.0,0,0,0,0,0
2016-2017,Lionel Messi,ar ARG,FW,29.0,34,32,2830,37,9
2016-2017,Luis Suárez,uy URU,FW,29.0,35,34,2857,28,12
2016-2017,Neymar,br BRA,FW,24.0,30,30,2649,13,10
2016-2017,Ivan Rakitić,hr CRO,MF,28.0,32,26,2341,8,6
2016-2017,Rafinha,br BRA,MF,23.0,18,14,1073,6,2
2016-2017,Paco Alcácer,es ESP,FW,22.0,20,6,858,6,3
2016-2017,André Gomes,pt POR,MF,23.0,30,17,1591,3,1
2016-2017,Arda Turan,tr TUR,"FW,MF",29.0,18,14,1244,3,3
2016-2017,Gerard Piqué,es ESP,DF,29.0,25,25,2191,2,0
2016-2017,Aleix Vidal,es ESP,DF,26.0,6,5,476,2,2
2016-2017,Samuel Umtiti,fr FRA,DF,22.0,25,24,2129,1,0
