season,player,nation,pos,age,mp,starts,min,goals,assists
2017-2018,Gerard Deulofeu,es ESP,"MF,FW",23.0,3,2,147,0,0
2017-2018,André Gomes,pt POR,MF,24.0,9,1,170,0,0
2017-2018,Javier Mascherano,ar ARG,DF,33.0,2,1,134,0,0
2017-2018,Aleix Vidal,es ESP,FW,27.0,4,1,112,0,0
2017-2018,Jasper Cillessen,nl NED,GK,28.0,1,1,90,0,0
2017-2018,Thomas Vermaelen,be BEL,DF,31.0,1,1,90,0,0
2018-2019,Lionel Messi,ar ARG,FW,31.0,10,9,838,12,3
2018-2019,Philippe Coutinho,br BRA,"FW,MF",26.0,12,11,852,3,3
2018-2019,Ousmane Dembélé,fr FRA,FW,21.0,8,5,414,3,1
2018-2019,Gerard Piqué,es ESP,DF,31.0,11,11,990,2,0
2018-2019,Ivan Rakitić,hr CRO,MF,30.0,12,12,1018,1,2
2018-2019,Jordi Alba,es ESP,DF,29.0,11,11,990,1,5
2018-2019,Luis Suárez,uy URU,FW,31.0,10,10,899,1,4
2018-2019,Rafinha,br BRA,FW,25.0,2,1,79,1,0
2018-2019,Malcom,br BRA,"FW,MF",21.0,3,0,42,1,0
2018-2019,Sergio Busquets,es ESP,MF,30.0,12,11,1033,0,0
2018-2019,Clément Lenglet,fr FRA,DF,23.0,12,11,1001,0,0
2018-2019,Marc-André ter Stegen,de GER,GK,26.0,11,11,990,0,0
2018-2019,Sergi Roberto,es ESP,"DF,MF",26.0,9,8,706,0,0
2018-2019,Arthur Melo,br BRA,MF,21.0,9,7,562,0,0
2018-2019,Nélson Semedo,pt POR,DF,24.0,10,5,559,0,0
2018-2019,Arturo Vidal,cl CHI,MF,31.0,11,3,363,0,0
2018-2019,Carles Aleñá,es ESP,MF,20.0,3,1,92,0,0
2018-2019,Thomas Vermaelen,be BEL,DF,32.0,2,1,91,0,0
2018-2019,Jasper Cillessen,nl NED,GK,29.0,1,1,90,0,0
2018-2019,Juan Miranda,es ESP,DF,18.0,1,1,90,0,0
2018-2019,Samuel Umtiti,fr FRA,DF,24.0,1,1,78,0,0
2018-2019,Munir El Haddadi,ma MAR,FW,22.0,2,1,65,0,0
2018-2019,Denis Suárez,es ESP,MF,24.0,2,0,26,0,0
2018-2019,Chumi,es ESP,DF,19.0,0,0,0,0,0
2018-2019,Jeison Murillo,co COL,DF,26.0,0,0,0,0,0
2018-2019,Iñaki Peña,es ESP,GK,19.0,0,0,0,0,0
2019-2020,Luis Suárez,uy URU,FW,32.0,7,6,567,5,2
2019-2020,Lionel Messi,ar ARG,FW,32.0,8,7,662,3,3
2019-2020,Antoine Griezmann,fr FRA,"FW,MF",28.0,9,7,653,2,0
2019-2020,Clément Lenglet,fr FRA,DF,24.0,9,8,721,1,0
2019-2020,Ansu Fati,es ESP,FW,16.0,5,1,115,1,0
2019-2020,Carles Pérez,es ESP,FW,21.0,1,1,84,1,0
2019-2020,Frenkie de Jong,nl NED,MF,22.0,9,8,748,0,0
2019-2020,Marc-André ter Stegen,de GER,GK,27.0,8,8,720,0,0
2019-2020,Nélson Semedo,pt POR,DF,25.0,7,7,630,0,1
2019-2020,Gerard Piqué,es ESP,DF,32.0,7,7,629,0,0
2019-2020,Sergio Busquets,es ESP,MF,31.0,7,7,504,0,0
2019-2020,Jordi Alba,es ESP,DF,30.0,5,5,354,0,1
2019-2020,Arturo Vidal,cl CHI,"MF,FW",32.0,7,4,422,0,1
2019-2020,Sergi Roberto,es ESP,"MF,DF",27.0,6,4,411,0,0
2019-2020,Ivan Rakitić,hr CRO,MF,31.0,7,4,345,0,1
2019-2020,Arthur Melo,br BRA,MF,22.0,4,3,298,0,1
2019-2020,Junior Firpo,do DOM,"DF,MF",22.0,4,3,271,0,0
2019-2020,Samuel Umtiti,fr FRA,DF,25.0,3,3,270,0,0
2019-2020,Ousmane Dembélé,fr FRA,"MF,FW",22.0,4,2,136,0,0
2019-2020,Moussa Wagué,sn SEN,MF,20.0,2,1,91,0,0
2019-2020,Carles Aleñá,es ESP,MF,21.0,1,1,90,0,0
